Unnamed: 0,Unnamed: 1,ID,Name,Price,Brand,Rating,Total Ratings,Cleaned_Price,Clean_Rating,Brand Name,RAM,URL
134,,135,Imported Oppo A57 with Box Charger - Dual Sim Approved - 3GB RAM Mobile - Snapdragon Processor Mobile,"Rs. 12,993
Rs. 20,000-35%",No Brand,"4.1
Excellent",8,12993,4.1,Oppo,3,https://www.daraz.pk/products/oppo-a57-2022-65-hd-display-4gb-ram-64gb-rom-dual-sim-pta-approved-phone-and-box-only-charger-accessories-not-included-mix-color-i436693448-s2098342045.html?spm=a2a0e.searchlist.sku.4.19b0203ctRYUUg&search=1
135,,136,Sparx Neo 7 Ultra - 6GB RAM 128GB ROM - 6.5 Inches Display - 5000mAh Battery,"Rs. 32,499
Rs. 36,000-10%",No Brand,"3.7
Good",6,32499,3.7,Sparx,6,https://www.daraz.pk/products/sparx-neo-7-ultra-6128gb-67-display-5000mah-battery-octa-core-processor-fast-charging-pta-approved-one-year-brand-warranty-i423781498-s2073410404.html?spm=a2a0e.searchlist.sku.2.46877ea8FmBrWT&search=1
136,,137,Redmi 12 - 8GB RAM 128GB ROM - Dual SIM - 5000mAh Battery,"Rs. 44,999
Rs. 50,000-10%",No Brand,"4.9
Excellent",17,44999,4.9,Redmi,8,https://www.daraz.pk/products/12-6gb-128gb-679-ips-5000-mah-18w-i432721437-s2081882462.html?spm=a2a0e.searchlist.sku.32.ae4549f6C2BAEG&search=1
137,,138,"Hot 30 Play , 4+4GB Ram 64GB Rom , 6.8 Inches IPS Display , 6000 mAh - Fast charging 18W","Rs. 30,999
Rs. 38,999-21%",No Brand,"3.7
Good",1,30999,3.7,Hot,4,https://www.daraz.pk/products/30-8gb-128gb-50mp-5000mah-i432054677-s2064260237.html?spm=a2a0e.searchlist.sku.2.60ae58e0fNZSuT&search=1
138,,139,Daraz Like New Phones - Used Apple iPhone 11 Pro 64 GB Midnight Green - PTA Approved,"Rs. 184,999
Rs. 206,000-10%",Apple,"3.3
Good",12,184999,3.3,Daraz,4,https://www.daraz.pk/products/daraz-like-new-phones-used-apple-iphone-11-pro-64-gb-midnight-green-pta-approved-i434302398-s2082861762.html?spm=a2a0e.searchlist.sku.20.5fe53b0daK2n87&search=1
139,,140,"SPARX NEO 7 PRO 4GB RAM 64GB ROM || 6.5"" DISPLAY || 5000mAh BATTERY || PTA APPROVED || ONE YEAR BRAND WARRANTY","Rs. 22,499
Rs. 26,500-15%",No Brand,"3.2
Good",5,22499,3.2,SPARX,4,https://www.daraz.pk/products/sparx-neo-7-ultra-8gb-ram-128gb-rom-50-mp-dual-camera-5000mah-battery-pta-approved-1-year-brand-warranty-i432785193-s2114126786.html?spm=a2a0e.searchlist.sku.4.5ab47ea8RrjSF3&search=1
140,,141,INFINIX HOT30 - 8GB+8GB RAM 128GB ROM - 5000 mAh Battery Pta Approved Offical Brand Warranty,"Rs. 37,999
Rs. 44,999-16%",Infinix,"4.8
Excellent",22,37999,4.8,INFINIX,8,https://www.daraz.pk/products/7-hd-2-gb-64-gb-5-mp-8-mp-008-mp-5000-mah-i426808220-s2025846248.html?spm=a2a0e.searchlist.sku.8.501e370c620LYJ&search=1
141,,142,"Redmi 12 , 8GB RAM 128GB ROM , 50 MP Main Camera , Fingerprint , 5000mAh Fast Charging","Rs. 44,999
Rs. 51,999-13%",No Brand,"4.0
Excellent",8,44999,4,Redmi,8,https://www.daraz.pk/products/12-6gb-128gb-679-ips-5000-mah-18w-i432721437-s2081882462.html?spm=a2a0e.searchlist.sku.32.ae4549f6C2BAEG&search=1
142,,143,"Infinix Note 30 RAM 8 GB ROM 256 GB Front Camera 16 MP Back Camera 64 MP + 2 MP + AI Cam Battery Type Li-Po 5000 mAh, non-removable","Rs. 47,980",No Brand,"4.9
Excellent",110,47980,4.9,Infinix,8,https://www.daraz.pk/products/infinix-note-30-pro-8-256-gb-pta-approved-with-official-1-year-warranty-i436821010-s2101334479.html?spm=a2a0e.searchlist.sku.2.469a200f51eisY&search=1
143,,144,Tecno Spark 10 RAM 4 GB ROM 128 GB Front Camera 8 MP Back Camera 50 MP + AI Battery Type 5000 mAh,"Rs. 34,999
Rs. 50,000-30%",No Brand,"4.8
Excellent",3,34999,4.8,Tecno,4,https://www.daraz.pk/products/10-8-gb-128-gb-32-mp-50-mp-i430742292-s2054564300.html?spm=a2a0e.searchlist.sku.10.5c0f3b76s5G6yX&search=1
144,,145,Tecno Spark 10 Pro RAM 8 GB ROM 128 GB front Camera 32 MP Back Camera 50 MP Battery Type5000 mAh,"Rs. 39,990
Rs. 60,000-33%",No Brand,"3.3
Good",2,39990,3.3,Tecno,8,https://www.daraz.pk/products/10-8-gb-128-gb-32-mp-50-mp-i430742292-s2054564300.html?spm=a2a0e.searchlist.sku.10.5c0f3b76s5G6yX&search=1
145,,146,Tecno Spark 10 Pro 8GB/128GB - Android 13 - 5000 mAh,"Rs. 39,999",Tecno,"3.7
Good",10,39999,3.7,Tecno,8,
146,,147,"Samsung Galaxy A14 - 6.6"" Inch Display - 6GB RAM - 128GB ROM","Rs. 55,850",No Brand,"4.6
Excellent",27,55850,4.6,Samsung,6,https://www.daraz.pk/products/samsung-galaxy-a14-6gb-rom-128-gb-pta-approved-1-year-official-warranty-i428408681-s2037400447.html?spm=a2a0e.searchlist.sku.8.11d9a7cc1LoXFA&search=1
147,,148,Tecno Spark 10 4GB+4GB Ram 128GB Rom 6.6 Inches IPS Display 90Hz 5000 mAh- Fast battery 18W wired,"Rs. 32,999
Rs. 34,999-6%",No Brand,"3.1
Good",6,32999,3.1,Tecno,4,
148,,149,"Infinix Hot 30 - 8GB RAM - 128GB ROM - 5000mAH Battery - 33W Fast charge - 6.7"" Display - PTA Approved - 1 Year Official Warranty","Rs. 37,999
Rs. 39,999-5%",No Brand,"3.6
Good",9,37999,3.6,Infinix,8,https://www.daraz.pk/products/30-8gb-256gb-64mp-5000mah-i430239285-s2059656609.html?spm=a2a0e.searchlist.sku.8.24631de1nkgbWx&search=1
149,,150,"Redemi 12 , 8GB Ram 128GB , 6.79 Inches IPS Display , 5000 mAh - Fast charging 18W","Rs. 42,999
Rs. 49,999-14%",No Brand,"4.1
Excellent",19,42999,4.1,Redemi,8,https://www.daraz.pk/products/12c-4gb-1-000-gb-10w-i426348483-s2023807194.html?spm=a2a0e.searchlist.sku.18.331c49f6P2aFl9&search=1
